Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Adipose tissue	244/12174	1.2367959325327159E-30	5.3676943471919865E-28	0	0	7.25510934999619	499.62331346168975	VIT;ITSN2;ZNF295;POP4;DCAF5;IKZF5;HERC3;CREB3L2;LONP2;DIP2A;VPS39;MEF2A;PRKCI;MEF2C;EBF1;EBF2;COG1;FRS3;CCDC80;SDPR;AKAP9;C10ORF118;SIK3;ULK1;IGSF8;GYPC;MAOB;MAOA;PDE1A;TSHZ2;MGST1;DCUN1D2;PIK3R1;RNPC3;GNS;MTMR6;PLAC9;ADAMTS15;ABR;EPB41L2;PIP5K1B;MAP4;KIAA0319L;EDEM3;NAA50;BBS1;NDFIP2;SLC10A7;TPRG1;FZD4;INSR;BSDC1;PRRC2C;BRAF;PUM1;PAFAH2;AIMP2;CILP;GOLGB1;OGDH;HOXD3;ZNF136;CD22;CPEB4;ZNF254;CDKN1C;PHF3;ECM2;CCDC120;PHF1;WASL;CSAD;FAM115A;SMG6;MECP2;AKAP13;DSTYK;UBL3;IDS;VWA5A;WDR31;IL16;SYN3;FAM126B;SLC7A6;CEACAM1;ANGPTL1;PAFAH1B1;FOXC1;ADH1B;FSTL1;TM9SF4;TM9SF3;TCEB1;METTL7A;GSN;MBD6;SORT1;STAT2;NR1H2;SYVN1;SNX21;FMO2;RSRC2;PODN;SORBS3;KIAA0195;HIPK2;RGP1;COL3A1;NFIA;DLC1;NFIC;PCYOX1L;SAA1;TACC1;MPHOSPH8;ACAA2;ROGDI;FAM13A;SMEK2;PRDM2;HPGDS;OSBP;SCMH1;WWC3;SLC16A7;USP8;IGFBP5;SCARA5;IL11RA;LMO3;HGF;DNAJB14;ATP11A;LEMD2;PDGFRL;FOXP1;ST7L;TOM1L2;TMEM135;PKP4;SRSF5;FKBP5;NSMAF;GLYR1;CEP104;RAB5B;ZNF791;EIF2C3;CALCRL;NPR1;YTHDC1;ANKRD12;SLC38A10;ACACB;FHIT;ARHGAP20;ATXN2;HMBOX1;ATXN1;MAN2A2;CALD1;SAFB2;MAP2K5;RAI2;CCDC134;DENND4B;LHFP;HOOK3;BTBD9;DNAJC16;CRLS1;CLK4;ARHGAP24;CLK1;CNOT4;SON;GON4L;STT3A;AAK1;OSBPL1A;EIF4G3;OGT;RERE;LDB1;NUMA1;MAST2;HP1BP3;USP34;LSP1;PTPN23;DHTKD1;GHR;SGCD;ZNF407;C3ORF55;RBM5;SH3D19;RBM33;EGFL7;PPP1R12A;DCAKD;C10ORF10;ABCC9;ARID1B;DCN;SHROOM4;TGFBR3;SLC25A16;PEX6;PPAP2A;HDAC4;COL15A1;ZNF197;HPGD;DDX24;WBP2;SFSWAP;SEMA3A;LAMA4;RNF38;FOXK1;RCHY1;HDAC6;TBRG1;IL1RL1;CLEC3B;FAM120B;VPS54;LRIG3;SASH1;URGCP;EYA2;MBOAT7;ATP2B1;TPD52L1;TTC19;MTOR;TBX15;XPNPEP2;KANSL3;PMP22;SNTB2
Uterus	248/12771	1.2225712659201082E-29	2.652979647046635E-27	0	0	7.933526755214849	528.1667011272551	ITSN2;CHIC1;ZNF295;POP4;DCAF5;IKZF5;HERC3;CREB3L2;LONP2;DIP2A;VPS39;MEF2A;PRKCI;MEF2C;EBF1;COG1;FRS3;CCDC80;SDPR;AKAP9;C10ORF118;SIK3;ULK1;IGSF8;GYPC;MAOB;MAOA;PDE1A;TSHZ2;MGST1;DCUN1D2;PIK3R1;RNPC3;GNS;MTMR6;PLAC9;ADAMTS15;ABR;EPB41L2;PIP5K1B;MAP4;KIAA0319L;ZBED3;EDEM3;NAA50;BBS1;NDFIP2;SLC10A7;TPRG1;FZD4;INSR;BSDC1;PRRC2C;BRAF;PUM1;PAFAH2;AIMP2;CILP;GOLGB1;OGDH;HOXD3;ZNF136;CD22;CPEB4;ZNF254;CDKN1C;PHF3;ECM2;CCDC120;PHF1;WASL;CSAD;FAM115A;EDA2R;SMG6;MECP2;AKAP13;DSTYK;UBL3;IDS;VWA5A;WDR31;IL16;SYN3;FAM126B;SLC7A6;CEACAM1;ANGPTL1;PAFAH1B1;FOXC1;ADH1B;FSTL1;TM9SF4;TM9SF3;NSD1;TCEB1;METTL7A;GSN;MBD6;SORT1;STAT2;NR1H2;SYVN1;MIB2;SNX21;FMO2;RSRC2;PODN;SORBS3;KIAA0195;HIPK2;RGP1;COL3A1;NFIA;DLC1;NFIC;PCYOX1L;SAA1;TACC1;MPHOSPH8;ACAA2;DGKB;ROGDI;FAM13A;SMEK2;PRDM2;HPGDS;OSBP;SCMH1;WWC3;SLC16A7;USP8;IGFBP5;IL11RA;LMO3;HGF;DNAJB14;ATP11A;LEMD2;PDGFRL;FOXP1;ST7L;TOM1L2;TMEM135;UTS2;PKP4;SRSF5;FKBP5;NSMAF;GLYR1;CEP104;RAB5B;ZNF791;EIF2C3;CALCRL;NPR1;YTHDC1;ANKRD12;SLC38A10;ACACB;FHIT;ARHGAP20;ATXN2;HMBOX1;ATXN1;MAN2A2;CALD1;SAFB2;MAP2K5;RAI2;CCDC134;DENND4B;LHFP;MARCH9;HOOK3;BTBD9;DNAJC16;CRLS1;CLK4;ARHGAP24;CLK1;CNOT4;TMEM234;DLG2;SON;GON4L;STT3A;AAK1;OSBPL1A;EIF4G3;OGT;RERE;LDB1;NUMA1;MAST2;HP1BP3;USP34;CELF6;LSP1;PTPN23;DHTKD1;GHR;SGCD;ZNF407;RBM5;SH3D19;RBM33;EGFL7;PPP1R12A;DCAKD;C10ORF10;ABCC9;ARID1B;DCN;SHROOM4;TGFBR3;SLC25A16;PEX6;PPAP2A;HDAC4;COL15A1;ZNF197;HPGD;DDX24;WBP2;SFSWAP;LAMA4;RNF38;RCHY1;HDAC6;TBRG1;IL1RL1;CLEC3B;FAM120B;VPS54;LRIG3;SASH1;URGCP;EYA2;MBOAT7;ATP2B1;TPD52L1;TTC19;MTOR;KANSL3;PMP22;ATP13A2;SNTB2
Thyroid gland	247/13652	1.353637921612248E-22	1.9582628599323853E-20	0	0	6.137784408802686	309.0624645627933	VIT;ITSN2;CHIC1;ZNF295;POP4;DCAF5;IKZF5;HERC3;CREB3L2;LONP2;DIP2A;VPS39;MEF2A;PRKCI;MEF2C;EBF1;EBF2;COG1;FRS3;CCDC80;SDPR;AKAP9;C10ORF118;SIK3;ULK1;IGSF8;GYPC;MAOB;MAOA;PDE1A;MGST1;DCUN1D2;PIK3R1;RNPC3;GNS;MTMR6;PLAC9;ADAMTS15;ABR;EPB41L2;MAP4;KIAA0319L;ZBED3;EDEM3;NAA50;BBS1;NDFIP2;SLC10A7;TPRG1;FZD4;INSR;BSDC1;PRRC2C;RAB27B;BRAF;PUM1;PAFAH2;AIMP2;CILP;GOLGB1;OGDH;ZNF136;CD22;CPEB4;ZNF254;CDKN1C;PHF3;ECM2;CCDC120;PHF1;WASL;CSAD;FAM115A;EDA2R;SMG6;MECP2;AKAP13;DSTYK;UBL3;IDS;VWA5A;WDR31;IL16;FAM126B;SLC7A6;CEACAM1;ANGPTL1;PAFAH1B1;FOXC1;ADH1B;FSTL1;TM9SF4;TM9SF3;NSD1;TCEB1;METTL7A;GSN;MBD6;SORT1;STAT2;NR1H2;SYVN1;MIB2;SNX21;FMO2;RSRC2;PODN;SORBS3;KIAA0195;HIPK2;RGP1;COL3A1;NFIA;DLC1;NFIC;PCYOX1L;SAA1;TACC1;MPHOSPH8;ACAA2;ROGDI;FAM13A;SMEK2;PRDM2;OSBP;SCMH1;WWC3;SLC16A7;USP8;IGFBP5;SCARA5;IL11RA;LMO3;HGF;DNAJB14;ATP11A;LEMD2;PDGFRL;FOXP1;ST7L;TOM1L2;TMEM135;PKP4;SRSF5;FKBP5;NSMAF;GLYR1;CEP104;RAB5B;ZNF791;EIF2C3;CALCRL;NPR1;YTHDC1;ANKRD12;SLC38A10;ACACB;FHIT;ARHGAP20;ATXN2;HMBOX1;ATXN1;MAN2A2;CALD1;SAFB2;MAP2K5;RAI2;CCDC134;DENND4B;LHFP;MARCH9;HOOK3;BTBD9;DNAJC16;CRLS1;CLK4;ARHGAP24;CLK1;CNOT4;TMEM234;DLG2;SON;GON4L;STT3A;AAK1;OSBPL1A;EIF4G3;OGT;RERE;LDB1;NUMA1;MAST2;HP1BP3;USP34;CELF6;LSP1;PTPN23;DHTKD1;GHR;SGCD;ZNF407;C3ORF55;RBM5;SH3D19;RBM33;EGFL7;PPP1R12A;DCAKD;C10ORF10;ABCC9;ARID1B;DCN;SHROOM4;TGFBR3;SLC25A16;PEX6;PPAP2A;HDAC4;COL15A1;ZNF197;HPGD;DDX24;WBP2;SFSWAP;SEMA3A;LAMA4;RNF38;RCHY1;HDAC6;TBRG1;IL1RL1;CLEC3B;FAM120B;VPS54;LRIG3;SASH1;URGCP;EYA2;MBOAT7;ATP2B1;TPD52L1;TTC19;MTOR;KANSL3;PMP22;ATP13A2;SNTB2
Hypothalamus	235/12937	8.300673904093136E-19	9.006231185941052E-17	0	0	4.196748289575937	174.7222985159768	ITSN2;CHIC1;ZNF295;POP4;DCAF5;IKZF5;HERC3;CREB3L2;LONP2;DIP2A;VPS39;MEF2A;PRKCI;MEF2C;EBF1;COG1;CCDC80;SDPR;AKAP9;C10ORF118;SIK3;ULK1;IGSF8;GYPC;MAOB;MAOA;PDE1A;TSHZ2;MGST1;DCUN1D2;PIK3R1;RNPC3;GNS;MTMR6;ADAMTS15;ABR;EPB41L2;PIP5K1B;MAP4;KIAA0319L;EDEM3;NAA50;BBS1;NDFIP2;SLC10A7;FZD4;INSR;BSDC1;PRRC2C;RAB27B;BRAF;PUM1;PAFAH2;AIMP2;GOLGB1;OGDH;ZNF136;CD22;CPEB4;ZNF254;CDKN1C;PHF3;ECM2;CCDC120;PHF1;WASL;CSAD;FAM115A;SMG6;MECP2;AKAP13;DSTYK;UBL3;IDS;VWA5A;WDR31;SYN3;FAM126B;SLC7A6;ANGPTL1;PAFAH1B1;FOXC1;FSTL1;TM9SF4;TM9SF3;TCEB1;METTL7A;GSN;MBD6;SORT1;STAT2;NR1H2;SYVN1;SNX21;FMO2;RSRC2;PODN;SORBS3;KIAA0195;HIPK2;RGP1;COL3A1;NFIA;DLC1;NFIC;PCYOX1L;SAA1;TACC1;MPHOSPH8;ACAA2;DGKB;ROGDI;FAM13A;SMEK2;PRDM2;HPGDS;OSBP;SCMH1;WWC3;SLC16A7;USP8;IGFBP5;LMO3;HGF;DNAJB14;ATP11A;LEMD2;FOXP1;ST7L;TOM1L2;TMEM135;PKP4;SRSF5;FKBP5;NSMAF;GLYR1;CEP104;RAB5B;ZNF791;EIF2C3;CALCRL;NPR1;YTHDC1;ANKRD12;SLC38A10;ACACB;FHIT;ARHGAP20;ATXN2;HMBOX1;ATXN1;MAN2A2;CALD1;SAFB2;MAP2K5;RAI2;CCDC134;DENND4B;LHFP;MARCH9;HOOK3;BTBD9;DNAJC16;CRLS1;CLK4;ARHGAP24;CLK1;CNOT4;TMEM234;DLG2;SON;GON4L;STT3A;AAK1;OSBPL1A;EIF4G3;OGT;RERE;LDB1;NUMA1;MAST2;HP1BP3;USP34;CELF6;PTPN23;DHTKD1;GHR;SGCD;ZNF407;RBM5;SH3D19;RBM33;EGFL7;PPP1R12A;DCAKD;C10ORF10;ABCC9;ARID1B;DCN;SHROOM4;TGFBR3;SLC25A16;PEX6;PPAP2A;HDAC4;COL15A1;ZNF197;HPGD;DDX24;WBP2;SFSWAP;SEMA3A;LAMA4;RNF38;FOXK1;RCHY1;HDAC6;TBRG1;IL1RL1;CLEC3B;FAM120B;VPS54;SASH1;URGCP;EYA2;MBOAT7;ATP2B1;TPD52L1;TTC19;MTOR;TBX15;KANSL3;PMP22;ATP13A2;SNTB2
Heart	246/14216	2.9438807465616002E-18	2.555288488015469E-16	0	0	5.07496062992126	204.8599358850163	VIT;ITSN2;CHIC1;ZNF295;POP4;DCAF5;IKZF5;HERC3;CREB3L2;LONP2;DIP2A;VPS39;MEF2A;PRKCI;MEF2C;EBF1;EBF2;COG1;FRS3;CCDC80;SDPR;AKAP9;C10ORF118;SIK3;ULK1;IGSF8;GYPC;MAOB;MAOA;PDE1A;TSHZ2;MGST1;DCUN1D2;PIK3R1;RNPC3;GNS;MTMR6;PLAC9;ADAMTS15;ABR;EPB41L2;PIP5K1B;MAP4;KIAA0319L;EDEM3;NAA50;BBS1;NDFIP2;SLC10A7;FZD4;INSR;BSDC1;PRRC2C;RAB27B;BRAF;PUM1;PAFAH2;AIMP2;CILP;GOLGB1;OGDH;ZNF136;CPEB4;ZNF254;CDKN1C;PHF3;ECM2;CCDC120;PHF1;WASL;CSAD;FAM115A;SMG6;MECP2;AKAP13;DSTYK;UBL3;IDS;VWA5A;WDR31;IL16;SYN3;FAM126B;SLC7A6;CEACAM1;ANGPTL1;PAFAH1B1;FOXC1;ADH1B;FSTL1;TM9SF4;TM9SF3;TCEB1;METTL7A;GSN;MBD6;SORT1;STAT2;NR1H2;SYVN1;MIB2;SNX21;FMO2;RSRC2;PODN;SORBS3;KIAA0195;HIPK2;RGP1;COL3A1;NFIA;DLC1;NFIC;PCYOX1L;SAA1;TACC1;MPHOSPH8;ACAA2;ROGDI;FAM13A;SMEK2;PRDM2;HPGDS;OSBP;SCMH1;WWC3;SLC16A7;USP8;IGFBP5;SCARA5;IL11RA;LMO3;HGF;DNAJB14;ATP11A;LEMD2;PDGFRL;FOXP1;ST7L;TOM1L2;TMEM135;PKP4;SRSF5;FKBP5;NSMAF;GLYR1;CEP104;RAB5B;ZNF791;EIF2C3;CALCRL;NPR1;YTHDC1;ANKRD12;SLC38A10;ACACB;FHIT;ARHGAP20;ATXN2;HMBOX1;ATXN1;MAN2A2;CALD1;SAFB2;MAP2K5;RAI2;CCDC134;DENND4B;LHFP;MARCH9;HOOK3;BTBD9;DNAJC16;CRLS1;CLK4;ARHGAP24;CLK1;CNOT4;TMEM234;DLG2;SON;GON4L;STT3A;AAK1;OSBPL1A;EIF4G3;OGT;RERE;LDB1;NUMA1;MAST2;HP1BP3;USP34;LSP1;PTPN23;DHTKD1;GHR;SGCD;ZNF407;RBM5;SH3D19;RBM33;EGFL7;PPP1R12A;DCAKD;C10ORF10;ABCC9;ARID1B;DCN;SHROOM4;TGFBR3;SLC25A16;PEX6;PPAP2A;HDAC4;COL15A1;ZNF197;HPGD;DDX24;WBP2;SFSWAP;SEMA3A;LAMA4;RNF38;FOXK1;RCHY1;HDAC6;TBRG1;IL1RL1;CLEC3B;FAM120B;VPS54;LRIG3;SASH1;URGCP;EYA2;MBOAT7;ATP2B1;TPD52L1;TTC19;MTOR;XPNPEP2;KANSL3;PMP22;ATP13A2;SNTB2
Brain	236/13237	1.2663413756620563E-17	9.15986928395554E-16	0	0	4.074014819372869	158.51101345111957	ITSN2;CHIC1;ZNF295;POP4;DCAF5;IKZF5;HERC3;CREB3L2;LONP2;DIP2A;VPS39;MEF2A;PRKCI;MEF2C;EBF1;EBF2;COG1;FRS3;CCDC80;SDPR;AKAP9;C10ORF118;SIK3;ULK1;IGSF8;GYPC;MAOB;MAOA;PDE1A;TSHZ2;MGST1;DCUN1D2;PIK3R1;RNPC3;GNS;MTMR6;ABR;EPB41L2;PIP5K1B;MAP4;KIAA0319L;ZBED3;EDEM3;NAA50;BBS1;NDFIP2;SLC10A7;FZD4;INSR;BSDC1;PRRC2C;RAB27B;BRAF;PUM1;AIMP2;CILP;GOLGB1;OGDH;ZNF136;CD22;CPEB4;ZNF254;CDKN1C;PHF3;ECM2;CCDC120;PHF1;WASL;CSAD;FAM115A;SMG6;MECP2;AKAP13;DSTYK;UBL3;IDS;VWA5A;WDR31;IL16;SYN3;FAM126B;SLC7A6;ANGPTL1;PAFAH1B1;ADH1B;FSTL1;TM9SF4;TM9SF3;NSD1;TCEB1;METTL7A;GSN;MBD6;SORT1;STAT2;NR1H2;SYVN1;MIB2;SNX21;RSRC2;PODN;SORBS3;KIAA0195;HIPK2;RGP1;COL3A1;NFIA;DLC1;NFIC;PCYOX1L;TACC1;MPHOSPH8;ACAA2;DGKB;ROGDI;FAM13A;SMEK2;PRDM2;OSBP;SCMH1;WWC3;USP8;IGFBP5;SCARA5;IL11RA;LMO3;DNAJB14;ATP11A;LEMD2;PDGFRL;FOXP1;ST7L;TOM1L2;TMEM135;UTS2;PKP4;SRSF5;FKBP5;NSMAF;GLYR1;CEP104;RAB5B;ZNF791;EIF2C3;CALCRL;NPR1;YTHDC1;ANKRD12;SLC38A10;ACACB;FHIT;ARHGAP20;ATXN2;HMBOX1;ATXN1;MAN2A2;CALD1;SAFB2;MAP2K5;RAI2;CCDC134;DENND4B;LHFP;MARCH9;HOOK3;BTBD9;DNAJC16;CRLS1;CLK4;ARHGAP24;CLK1;CNOT4;DLG2;SON;GON4L;STT3A;AAK1;OSBPL1A;EIF4G3;OGT;RERE;LDB1;NUMA1;MAST2;HP1BP3;USP34;CELF6;LSP1;PTPN23;DHTKD1;SGCD;ZNF407;RBM5;SH3D19;RBM33;EGFL7;PPP1R12A;DCAKD;C10ORF10;ABCC9;ARID1B;DCN;SHROOM4;TGFBR3;SLC25A16;PEX6;PPAP2A;HDAC4;COL15A1;ZNF197;HPGD;DDX24;WBP2;SFSWAP;SEMA3A;LAMA4;RNF38;FOXK1;RCHY1;HDAC6;TBRG1;CLEC3B;FAM120B;VPS54;SASH1;URGCP;EYA2;MBOAT7;ATP2B1;TPD52L1;TTC19;MTOR;KANSL3;PMP22;ATP13A2;SNTB2
Lymph node	249/14834	1.1952652763210169E-16	7.410644713190304E-15	0	0	5.170908870918954	189.5809974890295	VIT;ITSN2;CHIC1;ZNF295;POP4;DCAF5;IKZF5;HERC3;CREB3L2;LONP2;DIP2A;VPS39;MEF2A;PRKCI;MEF2C;EBF1;EBF2;COG1;FRS3;CCDC80;SDPR;AKAP9;C10ORF118;SIK3;ULK1;IGSF8;GYPC;MAOB;MAOA;PDE1A;TSHZ2;MGST1;DCUN1D2;PIK3R1;RNPC3;GNS;MTMR6;PLAC9;ADAMTS15;ABR;EPB41L2;PIP5K1B;MAP4;KIAA0319L;ZBED3;EDEM3;NAA50;BBS1;NDFIP2;SLC10A7;TPRG1;FZD4;INSR;BSDC1;PRRC2C;RAB27B;BRAF;PUM1;PAFAH2;AIMP2;CILP;GOLGB1;OGDH;ZNF136;CD22;CPEB4;ZNF254;CDKN1C;PHF3;ECM2;CCDC120;PHF1;WASL;CSAD;FAM115A;EDA2R;SMG6;MECP2;AKAP13;DSTYK;UBL3;IDS;VWA5A;WDR31;IL16;FAM126B;SLC7A6;CEACAM1;ANGPTL1;PAFAH1B1;FOXC1;ERVFRD-1;ADH1B;FSTL1;TM9SF4;TM9SF3;NSD1;TCEB1;METTL7A;GSN;MBD6;SORT1;STAT2;NR1H2;SYVN1;MIB2;SNX21;FMO2;RSRC2;PODN;SORBS3;KIAA0195;HIPK2;RGP1;COL3A1;NFIA;DLC1;NFIC;PCYOX1L;SAA1;TACC1;MPHOSPH8;ACAA2;ROGDI;FAM13A;SMEK2;PRDM2;HPGDS;OSBP;SCMH1;WWC3;SLC16A7;USP8;IGFBP5;SCARA5;IL11RA;HGF;DNAJB14;ATP11A;LEMD2;FOXP1;ST7L;TOM1L2;TMEM135;UTS2;PKP4;SRSF5;FKBP5;NSMAF;GLYR1;CEP104;RAB5B;ZNF791;EIF2C3;CALCRL;NPR1;YTHDC1;ANKRD12;SLC38A10;ACACB;FHIT;ARHGAP20;ATXN2;HMBOX1;ATXN1;MAN2A2;CALD1;SAFB2;MAP2K5;RAI2;CCDC134;DENND4B;LHFP;MARCH9;HOOK3;BTBD9;DNAJC16;CRLS1;CLK4;ARHGAP24;CLK1;CNOT4;TMEM234;SON;GON4L;STT3A;AAK1;OSBPL1A;EIF4G3;OGT;RERE;LDB1;NUMA1;MAST2;HP1BP3;USP34;CELF6;LSP1;PTPN23;DHTKD1;GHR;ZNF407;C3ORF55;RBM5;SH3D19;RBM33;EGFL7;PPP1R12A;DCAKD;C10ORF10;ABCC9;ARID1B;DCN;SHROOM4;TGFBR3;SLC25A16;PEX6;PPAP2A;HDAC4;COL15A1;ZNF197;HPGD;DDX24;WBP2;SFSWAP;SEMA3A;LAMA4;RNF38;RCHY1;HDAC6;TBRG1;IL1RL1;CLEC3B;FAM120B;VPS54;LRIG3;SASH1;URGCP;EYA2;MBOAT7;ATP2B1;TPD52L1;TTC19;MTOR;TBX15;KANSL3;PMP22;ATP13A2;SNTB2
Spinal cord	214/11398	3.5015155879488653E-16	1.8995722064622594E-14	0	0	3.1461497193793333	111.96569717794114	VIT;ITSN2;ZNF295;DCAF5;IKZF5;HERC3;CREB3L2;LONP2;DIP2A;VPS39;MEF2A;PRKCI;MEF2C;EBF1;COG1;FRS3;SDPR;AKAP9;C10ORF118;SIK3;ULK1;IGSF8;MAOB;MAOA;PDE1A;TSHZ2;MGST1;DCUN1D2;PIK3R1;GNS;MTMR6;ABR;EPB41L2;PIP5K1B;MAP4;EDEM3;NAA50;BBS1;NDFIP2;FZD4;INSR;BSDC1;PRRC2C;BRAF;PUM1;PAFAH2;AIMP2;CILP;GOLGB1;OGDH;HOXD3;CD22;CPEB4;ZNF254;CDKN1C;PHF3;ECM2;CCDC120;PHF1;WASL;CSAD;FAM115A;SMG6;MECP2;AKAP13;DSTYK;UBL3;IDS;VWA5A;WDR31;IL16;SYN3;FAM126B;SLC7A6;CEACAM1;ANGPTL1;PAFAH1B1;FOXC1;ADH1B;FSTL1;TM9SF4;TM9SF3;TCEB1;METTL7A;GSN;MBD6;SORT1;STAT2;NR1H2;SYVN1;MIB2;SNX21;FMO2;RSRC2;PODN;SORBS3;HIPK2;COL3A1;NFIA;DLC1;NFIC;PCYOX1L;SAA1;TACC1;MPHOSPH8;ACAA2;DGKB;ROGDI;FAM13A;SMEK2;PRDM2;HPGDS;OSBP;SCMH1;WWC3;USP8;IGFBP5;SCARA5;IL11RA;LMO3;DNAJB14;ATP11A;LEMD2;PDGFRL;FOXP1;TOM1L2;UTS2;PKP4;SRSF5;FKBP5;NSMAF;GLYR1;RAB5B;ZNF791;EIF2C3;CALCRL;ANKRD12;ACACB;FHIT;ARHGAP20;HMBOX1;ATXN1;MAN2A2;CALD1;SAFB2;MAP2K5;CCDC134;DENND4B;LHFP;HOOK3;DNAJC16;CLK4;ARHGAP24;CLK1;CNOT4;DLG2;SON;GON4L;STT3A;AAK1;OSBPL1A;EIF4G3;OGT;RERE;LDB1;NUMA1;MAST2;HP1BP3;USP34;CELF6;LSP1;PTPN23;DHTKD1;SGCD;RBM5;SH3D19;EGFL7;PPP1R12A;DCAKD;C10ORF10;ABCC9;DCN;SHROOM4;TGFBR3;SLC25A16;PEX6;PPAP2A;HDAC4;COL15A1;DDX24;WBP2;SFSWAP;LAMA4;RNF38;FOXK1;RCHY1;HDAC6;TBRG1;CLEC3B;FAM120B;VPS54;LRIG3;SASH1;URGCP;EYA2;MBOAT7;ATP2B1;TPD52L1;TTC19;MTOR;KANSL3;PMP22;ATP13A2;SNTB2
Spleen	249/14937	4.851823321258147E-16	2.3396570238067063E-14	0	0	5.031934832756632	177.43612084875133	VIT;ITSN2;CHIC1;ZNF295;POP4;DCAF5;IKZF5;HERC3;CREB3L2;LONP2;DIP2A;VPS39;MEF2A;PRKCI;MEF2C;EBF1;EBF2;COG1;FRS3;CCDC80;SDPR;AKAP9;C10ORF118;SIK3;ULK1;IGSF8;GYPC;MAOB;MAOA;PDE1A;TSHZ2;MGST1;DCUN1D2;PIK3R1;RNPC3;GNS;MTMR6;PLAC9;ABR;EPB41L2;PIP5K1B;MAP4;KIAA0319L;ZBED3;EDEM3;NAA50;BBS1;NDFIP2;SLC10A7;TPRG1;FZD4;INSR;BSDC1;PRRC2C;RAB27B;BRAF;PUM1;PAFAH2;AIMP2;GOLGB1;OGDH;HOXD3;ZNF136;CD22;CPEB4;ZNF254;CDKN1C;PHF3;ECM2;CCDC120;PHF1;WASL;CSAD;FAM115A;EDA2R;SMG6;MECP2;AKAP13;DSTYK;UBL3;IDS;VWA5A;WDR31;IL16;SYN3;FAM126B;SLC7A6;CEACAM1;ANGPTL1;PAFAH1B1;FOXC1;ERVFRD-1;ADH1B;FSTL1;TM9SF4;TM9SF3;NSD1;TCEB1;METTL7A;GSN;MBD6;SORT1;STAT2;NR1H2;SYVN1;MIB2;SNX21;RSRC2;PODN;SORBS3;KIAA0195;HIPK2;RGP1;COL3A1;NFIA;DLC1;NFIC;PCYOX1L;SAA1;TACC1;MPHOSPH8;ACAA2;ROGDI;FAM13A;SMEK2;PRDM2;HPGDS;OSBP;SCMH1;WWC3;SLC16A7;USP8;IGFBP5;SCARA5;IL11RA;HGF;DNAJB14;ATP11A;LEMD2;FOXP1;ST7L;TOM1L2;TMEM135;UTS2;PKP4;SRSF5;FKBP5;NSMAF;GLYR1;CEP104;RAB5B;ZNF791;EIF2C3;CALCRL;NPR1;YTHDC1;ANKRD12;SLC38A10;ACACB;FHIT;ARHGAP20;ATXN2;HMBOX1;ATXN1;MAN2A2;CALD1;SAFB2;MAP2K5;RAI2;CCDC134;DENND4B;LHFP;MARCH9;HOOK3;BTBD9;DNAJC16;CRLS1;CLK4;ARHGAP24;CLK1;CNOT4;TMEM234;DLG2;SON;GON4L;STT3A;AAK1;OSBPL1A;EIF4G3;OGT;RERE;LDB1;NUMA1;MAST2;HP1BP3;USP34;CELF6;LSP1;PTPN23;DHTKD1;GHR;SGCD;ZNF407;C3ORF55;RBM5;SH3D19;RBM33;EGFL7;PPP1R12A;DCAKD;C10ORF10;ABCC9;ARID1B;DCN;SHROOM4;TGFBR3;SLC25A16;PEX6;PPAP2A;HDAC4;COL15A1;ZNF197;HPGD;DDX24;WBP2;SFSWAP;SEMA3A;RNF38;FOXK1;RCHY1;HDAC6;TBRG1;IL1RL1;CLEC3B;FAM120B;VPS54;LRIG3;SASH1;URGCP;EYA2;MBOAT7;ATP2B1;TPD52L1;TTC19;MTOR;KANSL3;PMP22;ATP13A2;SNTB2
Eye	134/5536	2.7103234661266472E-15	1.176280384298965E-13	0	0	2.693289802878844	90.33754122356756	VIT;ACAA2;POP4;ROGDI;FAM13A;SMEK2;PRDM2;DCAF5;CREB3L2;OSBP;SCMH1;LONP2;DIP2A;MEF2A;IGFBP5;COG1;DNAJB14;ATP11A;LEMD2;FOXP1;TOM1L2;CCDC80;AKAP9;SIK3;PKP4;SRSF5;FKBP5;GLYR1;RAB5B;YTHDC1;ANKRD12;SLC38A10;PIK3R1;GNS;MTMR6;ABR;ATXN2;MAN2A2;CALD1;EPB41L2;SAFB2;PIP5K1B;MAP4;NAA50;BBS1;DENND4B;INSR;BSDC1;PRRC2C;MARCH9;PUM1;CLK4;CLK1;AIMP2;DLG2;SON;GON4L;GOLGB1;OGDH;STT3A;AAK1;EIF4G3;OGT;CPEB4;CDKN1C;PHF3;RERE;NUMA1;PHF1;MAST2;HP1BP3;USP34;CELF6;WASL;PTPN23;SMG6;MECP2;AKAP13;DSTYK;UBL3;IDS;RBM5;SH3D19;RBM33;EGFL7;PPP1R12A;C10ORF10;ARID1B;DCN;TGFBR3;PEX6;PAFAH1B1;FOXC1;HPGD;DDX24;WBP2;LAMA4;RNF38;FSTL1;TM9SF4;HDAC6;TM9SF3;TBRG1;CLEC3B;NSD1;TCEB1;SASH1;GSN;MBD6;URGCP;SORT1;EYA2;NR1H2;MBOAT7;SYVN1;SNX21;RSRC2;TPD52L1;SORBS3;TTC19;MTOR;KIAA0195;HIPK2;COL3A1;NFIA;DLC1;NFIC;KANSL3;PCYOX1L;PMP22;TACC1;ATP13A2;MPHOSPH8;SNTB2
